"id","printed","normalized","host","nearbyProject","contextClassifications","occurrenceCount","printedPages","pdfPages","chapters","representativeText","extractionStatus","directoryDecision","currentResolutionStatus","currentUrl","editorialNotes"
"URL-0252","http://www.portico.org/about/Portico.Overview.CENL.pdf","http://www.portico.org/about/Portico.Overview.CENL.pdf","www.portico.org","www.portico.org","article / report / publication","1","165","180","6 - Preserving the Knowledge Commons","Fenton, Eileen. 2005. “Overview of Portico: An Electronic Archiving Service.” Conference of European Librarians, Luxembourg, September 30, 2005. http://www.portico.org/about/Portico.Overview.CENL.pdf. Foster, Andrea L. 2003. “Elsevier's Vanishing Act.” Chronicle of Higher Education 49(18):A27.","Book-extracted","","","",""
"URL-0253","http://www.jisc.ac.uk/uploaded_documents/digital-repositories-review-2005.pdf","http://www.jisc.ac.uk/uploaded_documents/digital-repositories-review-2005.pdf","www.jisc.ac.uk","www.jisc.ac.uk","article / report / publication","1","165","180","6 - Preserving the Knowledge Commons","Heery, Rachel, and Sheila Anderson. 2005. Digital Repositories Review. A Report to Accompany the Joint Information Systems Committee Digital Repositories Programme Call in February 2005. http://www.jisc.ac.uk/uploaded _documents/digital-repositories-review-2005.pdf. Ho, James. 2005. “Hyperlink Obsolescence in Scholarly Online Journals.” Journal of Computer-Mediated Communication 10(3), article 15. http://jcmc","Book-extracted","","","",""
"URL-0254","http://jcmc.indiana.edu/vol10/issue3/ho.html","http://jcmc.indiana.edu/vol10/issue3/ho.html","jcmc.indiana.edu","Indiana University","article / report / publication","1","165","180","6 - Preserving the Knowledge Commons","_documents/digital-repositories-review-2005.pdf. Ho, James. 2005. “Hyperlink Obsolescence in Scholarly Online Journals.” Journal of Computer-Mediated Communication 10(3), article 15. http://jcmc .indiana.edu/vol10/issue3/ho.html. Hobbes, Thomas. [1651] 1934. Leviathan. London: J. M. Dent & Sons. Honey, Sadie L. 2005. “Preservation of Electronic Scholarly Publishing: An","Book-extracted","","","",""
"URL-0255","http://www.jisc.ac.uk/uploaded_documents/ejournalsfinal.pdf","http://www.jisc.ac.uk/uploaded_documents/ejournalsfinal.pdf","www.jisc.ac.uk","www.jisc.ac.uk","license / intellectual-property resource","1","165","180","6 - Preserving the Knowledge Commons","Jones, Maggie. 2003. Archiving E-Journals Consultancy: Final Report. Report Commissioned by the Joint Information Systems Committee (JISC). http://www.jisc.ac.uk/uploaded_documents/ejournalsfinal.pdf. Lapelerie, François. 2003. “Re: Vanishing Act.” E-mail to liblicense-l@yale.edu, January 23. http://www.library.yale.edu/~llicense/ListArchives/0301/msg00092","Book-extracted","","","",""
"URL-0256","http://www.library.yale.edu/~llicense/ListArchives/0301/msg00092.html","http://www.library.yale.edu/~llicense/ListArchives/0301/msg00092.html","www.library.yale.edu","Liblicense / Yale University Library","license / intellectual-property resource","1","165","180","6 - Preserving the Knowledge Commons","http://www.jisc.ac.uk/uploaded_documents/ejournalsfinal.pdf. Lapelerie, François. 2003. “Re: Vanishing Act.” E-mail to liblicense-l@yale.edu, January 23. http://www.library.yale.edu/~llicense/ListArchives/0301/msg00092 .html. Lavoie, Brian F. 2003. “The Incentives to Preserve Digital Materials: Roles, Scenarios, and Economic Decision-Making.” White paper published electroni-","Book-extracted","","","",""
"URL-0257","http://www.oclc.org/research/projects/digipres/incentives-dp.pdf","http://www.oclc.org/research/projects/digipres/incentives-dp.pdf","www.oclc.org","www.oclc.org","article / report / publication","1","165","180","6 - Preserving the Knowledge Commons","OCLC Research. http://www.oclc.org/research/projects/digipres/ incentives-dp.pdf. Lavoie, Brian F. 2004. “Of Mice and Memory: Economically Sustainable Preser- vation for the Twenty-first Century.” Access in the Future Tense, 45–54. Wash-","Book-extracted","","","",""
"URL-0258","http://www.clir.org/pubs/abstract/pub126abst.html","http://www.clir.org/pubs/abstract/pub126abst.html","www.clir.org","Council on Library and Information Resources","project / organization homepage","1","165","180","6 - Preserving the Knowledge Commons","Lavoie, Brian F. 2004. “Of Mice and Memory: Economically Sustainable Preser- vation for the Twenty-first Century.” Access in the Future Tense, 45–54. Wash- ington, DC: Council on Library and Information Resources. http://www.clir.org/ pubs/abstract/pub126abst.html. Lawrence, Steve, David Pennock, Gay William Flake, Robert Krovetz, Frans Coetzee, Eric Glover, Finn Årup Nielsen, Andries Kruger, and C. Lee Giles. 2001.","Book-extracted","","","",""
"URL-0259","http://www.digitalpreservation.gov/repor/ndiipp_plan.pdf","http://www.digitalpreservation.gov/repor/ndiipp_plan.pdf","www.digitalpreservation.gov","www.digitalpreservation.gov","article / report / publication","1","166","181","6 - Preserving the Knowledge Commons","Library of Congress. 2002. Preserving Our Digital Heritage: Plan for the National Digital Information and Infrastructure Preservation Program. Washington, DC: Library of Congress. http://www.digitalpreservation.gov/ repor/ndiipp_plan.pdf. Lynch, Clifford. 2003a. “Institutional Repositories: Essential Infrastructure for Scholarship in the Digital Age.” ARL Bimonthly Report 226 (February).","Book-extracted","","","",""
"URL-0260","http://www.educause.edu/ir/library/pdf/ffpiu029.pdf","http://www.educause.edu/ir/library/pdf/ffpiu029.pdf","www.educause.edu","EDUCAUSE","article / report / publication","1","166","181","6 - Preserving the Knowledge Commons","Lynch, Clifford. 2003b. “Preserving Digital Information to Support Scholar- ship.” In The Internet & the University: Forum 2002. Boulder, CO: EDUCAUSE. http://www.educause.edu/ir/library/pdf/ffpiu029.pdf. Margalit, Avishai. 2002. The Ethics of Memory. Cambridge, MA: Harvard University Press.","Book-extracted","","","",""
"URL-0261","http://www.alpsp.org/arcsm00.pdf","http://www.alpsp.org/arcsm00.pdf","www.alpsp.org","Association of Learned and Professional Society Publishers","license / intellectual-property resource","1","166","181","6 - Preserving the Knowledge Commons","University Press. Morris, Sally. 2000. “Archiving Electronic Publications: What Are the Problems and Who Should Solve Them?” Serials Review 26(3):65–68. http://www.alpsp .org/arcsm00.pdf. O'Donnell, James. 2003. “Re: Vanishing Act.” E-mail to liblicense-l@yale.edu, January 29. http://www.library.yale.edu/~llicense/ListArchives/0301/msg00118","Book-extracted","","","",""
"URL-0262","http://www.library.yale.edu/~llicense/ListArchives/0301/msg00118.html","http://www.library.yale.edu/~llicense/ListArchives/0301/msg00118.html","www.library.yale.edu","Liblicense / Yale University Library","license / intellectual-property resource","1","166","181","6 - Preserving the Knowledge Commons",".org/arcsm00.pdf. O'Donnell, James. 2003. “Re: Vanishing Act.” E-mail to liblicense-l@yale.edu, January 29. http://www.library.yale.edu/~llicense/ListArchives/0301/msg00118 .html. Ostrom, Elinor. 1990. Governing the Commons: The Evolution of Institutions for Collective Action. Cambridge: Cambridge University Press.","Book-extracted","","","",""
"URL-0263","http://www.dlib.org/dlib/june01/reich/06reich.html","http://www.dlib.org/dlib/june01/reich/06reich.html","www.dlib.org","D-Lib Magazine","article / report / publication","1","166","181","6 - Preserving the Knowledge Commons","Science 284 (April 9): 278–282. Reich, Vicky, and David Rosenthal. 2001. “Lockss: A Permanent Publishing and Web Access System.” D-Lib Magazine 7(6). http://www.dlib.org/dlib/june01/ reich/06reich.html. Rochet, Jean-Charles, and Jean Tirole. 2003. “Platform Competition in Two- Sided Markets.” Journal of the European Economic Association 1(4):990–1029.","Book-extracted","","","",""
"URL-0264","http://www.dlib.org/dlib/november05/rosenthal/11rosenthal.html","http://www.dlib.org/dlib/november05/rosenthal/11rosenthal.html","www.dlib.org","D-Lib Magazine","article / report / publication","1","166","181","6 - Preserving the Knowledge Commons","Rosenthal, David, Thomas Robertson, Tom Lipkis, Vicky Reich, and Seth Morabito. 2005. “Requirements for Digital Preservation Systems: A Bottom-Up Approach.” D-Lib Magazine 11(11). http://www.dlib.org/dlib/november05/ rosenthal/11rosenthal.html. Schonfeld, Roger, Donald King, Ann Okerson, and Eileen Gifford Fenton. 2004. “Library Periodicals Expenses: Comparison of Non-Subscription Costs of Print","Book-extracted","","","",""
"URL-0265","http://www.dlib.org/dlib/january04/schonfeld/01schonfeld.html","http://www.dlib.org/dlib/january04/schonfeld/01schonfeld.html","www.dlib.org","D-Lib Magazine","article / report / publication","1","166","181","6 - Preserving the Knowledge Commons","“Library Periodicals Expenses: Comparison of Non-Subscription Costs of Print and Electronic Formats on a Life-Cycle Basis.” D-Lib Magazine 10(1). http://www.dlib.org/dlib/january04/schonfeld/01schonfeld.html. Tenner, Edward. 2002. “Taking Bytes from Oblivion.” U.S. News & World Report 132 (April 1): 66–67.","Book-extracted","","","",""
"URL-0266","http://www.clir.org/pubs/abstract/pub107abst.html","http://www.clir.org/pubs/abstract/pub107abst.html","www.clir.org","Council on Library and Information Resources","article / report / publication","1","167","182","6 - Preserving the Knowledge Commons","Digital Preservation: An International Perspective. Conference Proceedings, 78–95. Washington, DC: Council on Library and Information Resources. http://www.clir.org/pubs/abstract/pub107abst.html. Waters, Donald J., and John Garrett, eds. 1996. Preserving Digital Information: Report of the Task Force on Archiving of Digital Information. Washington, DC,","Book-extracted","","","",""
"URL-0267","http://www.rlg.org/ArchTF/","http://www.rlg.org/ArchTF/","www.rlg.org","Research Libraries Group","article / report / publication","1","167","182","6 - Preserving the Knowledge Commons","Report of the Task Force on Archiving of Digital Information. Washington, DC, and Mountain View, CA: Commission on Preservation and Access and Research Libraries Group. http://www.rlg.org/ArchTF/. Weiss, Rick. 2003. “On the Web, Research Work Proves Ephemeral: Electronic Archivists Are Playing Catch-Up in Trying to Keep Documents from Landing in","Book-extracted","","","",""
"URL-0268","http://ssrn.com/abstract=459362","http://ssrn.com/abstract=459362","ssrn.com","ssrn.com","article / report / publication","1","167","182","6 - Preserving the Knowledge Commons","History's Dustbin.” Washington Post (November 24): A08. Wright, Julian. 2003. One-Sided Logic in Two-Sided Markets. AEI-Brookings Joint Center Working Paper No. 03-10. http://ssrn.com/abstract=459362. Preserving the Knowledge Commons 167","Book-extracted","","","",""
"URL-0269","http://www.earlham.edu/~peters/fos/newsletter/08-04-03.htm#define","http://www.earlham.edu/~peters/fos/newsletter/08-04-03.htm#define","www.earlham.edu","Peter Suber / Earlham College","article / report / publication","2","197, 202","212-213, 217","7 - Creating an Intellectual Commons through Open Access","1. For more detail on the definition of “open access,” and some of the discrep- ancies among the published definitions, see Peter Suber, “How Should We Define ‘Open Access'?”, SPARC Open Access Newsletter (August 2, 2004), http:// Creating an Intellectual Commons through Open Access 197 [continues on next PDF page] www.earlham.edu/~peters/fos/newsletter/08-04-03.htm#define. For an introduc-","Book-extracted","","","",""
"URL-0270","www.earlham.edu/~peters/fos/newsletter/08-04-03.htm#define","www.earlham.edu/~peters/fos/newsletter/08-04-03.htm#define","www.earlham.edu","Peter Suber / Earlham College","article / report / publication","1","198","213","7 - Creating an Intellectual Commons through Open Access","www.earlham.edu/~peters/fos/newsletter/08-04-03.htm#define. For an introduc- tion designed for those new to the concept, see Peter Suber, Open Access Overview, http://www.earlham.edu/~peters/fos/overview.htm.","Book-extracted","","","",""
